cell_type	dataset_title	collection_name	cell_type_ontology_term_id	count
pvalb GABAergic cortical interneuron	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023018	2800
oligodendrocyte precursor cell	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0002453	2724
L6b glutamatergic cortical neuron	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023038	2598
L6 corticothalamic-projecting glutamatergic cortical neuron	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023042	2556
microglial cell	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000129	2477
lamp5 GABAergic cortical interneuron	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023011	2434
inhibitory interneuron	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:0000498	2399
sst GABAergic cortical interneuron	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023017	2358
near-projecting glutamatergic cortical neuron	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023012	2356
sst GABAergic cortical interneuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023017	2323
L5 extratelencephalic projecting glutamatergic cortical neuron	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023041	2303
vascular leptomeningeal cell	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023051	2295
oligodendrocyte precursor cell	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0002453	2264
sncg GABAergic cortical interneuron	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023015	2249
pvalb GABAergic cortical interneuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023018	2175
L6 corticothalamic-projecting glutamatergic cortical neuron	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:4023042	2150
sncg GABAergic cortical interneuron	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023015	2138
smooth muscle cell	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:0000192	2106
unknown	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	unknown	1985
oligodendrocyte	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000128	1930
chandelier pvalb GABAergic cortical interneuron	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023036	1889
microglial cell	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000129	1856
sncg GABAergic cortical interneuron	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023015	1821
corticothalamic-projecting glutamatergic cortical neuron	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023013	1811
sncg GABAergic cortical interneuron	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023015	1767
L6b glutamatergic cortical neuron	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:4023038	1739
microglial cell	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000129	1712
L6b glutamatergic cortical neuron	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023038	1698
vascular leptomeningeal cell	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023051	1692
near-projecting glutamatergic cortical neuron	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023012	1565
near-projecting glutamatergic cortical neuron	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023012	1509
chandelier pvalb GABAergic cortical interneuron	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023036	1425
L5 extratelencephalic projecting glutamatergic cortical neuron	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023041	1323
microglial cell	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000129	1304
oligodendrocyte precursor cell	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0002453	1281
cerebral cortex endothelial cell	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:1001602	1278
caudal ganglionic eminence derived GABAergic cortical interneuron	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023070	1250
microglial cell	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000129	1224
L5/6 near-projecting glutamatergic neuron of the primary motor cortex	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:4023043	1215
chandelier pvalb GABAergic cortical interneuron	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023036	1198
astrocyte	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000127	1187
oligodendrocyte precursor cell	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0002453	1141
vip GABAergic cortical interneuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023016	1131
chandelier pvalb GABAergic cortical interneuron	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023036	1096
L6b glutamatergic cortical neuron	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023038	1080
L5 extratelencephalic projecting glutamatergic cortical neuron	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023041	1073
chandelier pvalb GABAergic cortical interneuron	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:4023036	1008
cerebral cortex endothelial cell	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:1001602	998
T cell	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:0000084	885
caudal ganglionic eminence derived GABAergic cortical interneuron	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023070	877
caudal ganglionic eminence derived GABAergic cortical interneuron	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023070	820
lamp5 GABAergic cortical interneuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023011	819
near-projecting glutamatergic cortical neuron	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023012	816
sncg GABAergic cortical interneuron	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023015	816
oligodendrocyte precursor cell	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0002453	773
macrophage	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:0000235	760
microglial cell	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000129	750
near-projecting glutamatergic cortical neuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023012	706
vascular leptomeningeal cell	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:4023051	680
caudal ganglionic eminence derived GABAergic cortical interneuron	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023070	617
corticothalamic-projecting glutamatergic cortical neuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023013	552
chandelier pvalb GABAergic cortical interneuron	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023036	548
L5 extratelencephalic projecting glutamatergic cortical neuron	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023041	451
L5 extratelencephalic projecting glutamatergic cortical neuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023041	330
caudal ganglionic eminence derived GABAergic cortical interneuron	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023070	325
L6b glutamatergic cortical neuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023038	296
L5 extratelencephalic projecting glutamatergic cortical neuron	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023041	295
L5 extratelencephalic projecting glutamatergic cortical neuron	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:4023041	256
caudal ganglionic eminence derived GABAergic cortical interneuron	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023070	243
erythroid lineage cell	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:0000764	239
cerebral cortex endothelial cell	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:1001602	165
L5 extratelencephalic projecting glutamatergic cortical neuron	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023041	158
L5 extratelencephalic projecting glutamatergic cortical neuron	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023041	155
cerebral cortex endothelial cell	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:1001602	141
chandelier pvalb GABAergic cortical interneuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023036	137
vascular leptomeningeal cell	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023051	113
vascular leptomeningeal cell	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023051	107
cerebral cortex endothelial cell	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:1001602	102
